branch_id,branch_label,branch_rank,node_id,year,paper_age,citations_received,citation_velocity,recent_activity_score,title,journal,source_title,has_article_metadata,log_citation_velocity,citation_velocity_score
branch_1_01,branch_1,1,"CRICK JM, 2025, INT J ENTREP BEHAV R",2025,1,8.0,4.0,0.8571428571428572,COOPETITION AND THE MARKETING/ENTREPRENEURSHIP INTERFACE IN AN INTERNATIONAL ARENA,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOUR & RESEARCH,INT J ENTREP BEHAV R,True,1.6094379124341003,1.0
branch_1_02,branch_1,2,"CHEN YH, 2024, SUSTAINABILITY-BASEL",2024,2,0.0,0.0,0.7142857142857143,THE INNOVATIVE ENTREPRENEURIAL MARKETING JOURNEY AND SUSTAINABLE DEVELOPMENT OF SOUTHEAST ASIAN IMMIGRANTS,SUSTAINABILITY,SUSTAINABILITY-BASEL,True,0.0,0.0
branch_1_03,branch_1,3,"ALAREENI B, 2025, J STRATEG MARK",2025,1,2.0,1.0,0.8571428571428572,MARKETING AND ENTREPRENEURSHIP: CHALLENGES AND OPPORTUNITIES,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,True,0.6931471805599453,0.43067655807339306
branch_1_04,branch_1,4,"CHOU WC, 2023, NTU MANAG REV",2023,3,0.0,0.0,0.5714285714285714,HOW ENTREPRENEURIAL MARKETING FACILITATES DIRECT SELLERS' ENTREPRENEURIAL PROCESS: A DYNAMIC ADJUSTMENT PERSPECTIVE,NTU MANAGEMENT REVIEW,NTU MANAG REV,True,0.0,0.0
branch_1_05,branch_1,5,"MAYUTO R, 2023, FRONT PSYCHOL",2023,3,2.0,0.5,0.5714285714285714,ANTECEDENTS OF IMMIGRANTS’ ENTREPRENEURIAL INTENTION FORMATION PROCESS: AN EMPIRICAL STUDY OF IMMIGRANT ENTREPRENEURS IN CANADA,FRONTIERS IN PSYCHOLOGY,FRONT PSYCHOL,True,0.4054651081081644,0.25192963641259225
branch_1_06,branch_1,6,"AL-SHAIKH ME, 2023, WORLD DEVELOPMENT SUSTAINABILITY",2023,3,5.0,1.25,0.5714285714285714,A CONCEPTUAL REVIEW ON ENTREPRENEURIAL MARKETING AND BUSINESS SUSTAINABILITY IN SMALL AND MEDIUM ENTERPRISES,WORLD DEVELOPMENT SUSTAINABILITY,WORLD DEVELOPMENT SUSTAINABILITY,True,0.8109302162163288,0.5038592728251845
branch_1_07,branch_1,7,"SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH",2022,4,2.0,0.4,0.4285714285714286,ENTREPRENEURIAL MARKETING AND ORGANIZATIONAL ENTREPRENEURSHIP PERFORMANCE OF SMALL AND MEDIUM ENTERPRISES: A SYSTEMATIC REVIEW,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,True,0.33647223662121295,0.20906195512216758
branch_1_08,branch_1,8,"NWANKWO CA, 2022, ACADEMY OF STRATEGIC MANAGEMENT JOURNAL",2022,4,3.0,0.6,0.4285714285714286,,,ACADEMY OF STRATEGIC MANAGEMENT JOURNAL,True,0.4700036292457356,0.29202967422017917
branch_1_09,branch_1,9,"BUCCIERI D, 2022, IND MARKET MANAG",2022,4,3.0,0.6,0.4285714285714286,EXAMINING THE FORMATION OF ENTREPRENEURIAL RESOURCES IN EMERGING MARKET INTERNATIONAL NEW VENTURES,INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,True,0.4700036292457356,0.29202967422017917
branch_1_10,branch_1,10,"LI E, 2021, SUSTAINABILITY-BASEL",2021,5,2.0,0.3333333333333333,0.2857142857142857,,,SUSTAINABILITY-BASEL,True,0.2876820724517809,0.1787469216608008
branch_1_11,branch_1,11,"CRICK JM, 2021, J STRATEG MARK",2021,5,5.0,0.8333333333333334,0.2857142857142857,QUALITATIVE RESEARCH IN MARKETING: WHAT CAN ACADEMICS DO BETTER?,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,True,0.6061358035703155,0.37661334984559974
branch_1_12,branch_1,12,"SCHWEIGER SA, 2019, STRATEGIC MANAGE J",2019,7,2.0,0.25,0.0,THE COMPLEMENTARITY OF STRATEGIC ORIENTATIONS: A META‐ANALYTIC SYNTHESIS AND THEORY EXTENSION,STRATEGIC MANAGEMENT JOURNAL,STRATEGIC MANAGE J,True,0.22314355131420976,0.13864688385321391
branch_1_13,branch_1,13,"CRESWELL JOHNW, 2018, JOURNAL OF INVESTIGATIVE SURGERY : THE OFFICIAL JOURNAL OF THE ACADEMY OF SURGICAL RESEARCH",2018,8,3.0,0.3333333333333333,0.0,,,JOURNAL OF INVESTIGATIVE SURGERY : THE OFFICIAL JOURNAL OF THE ACADEMY OF SURGICAL RESEARCH,True,0.2876820724517809,0.1787469216608008
branch_1_14,branch_1,14,"ARLI D, 2018, IND MARKET MANAG",2018,8,2.0,0.2222222222222222,0.0,"RELATIONAL SELLING: PAST, PRESENT AND FUTURE",INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,True,0.20067069546215116,0.12468371343300749
branch_1_15,branch_1,15,"REZAEI R, 2017, J AGR SCI TECH-IRAN",2017,9,2.0,0.2,0.0,,,J AGR SCI TECH-IRAN,True,0.18232155679395465,0.11328275255937836
branch_2_01,branch_2,1,"KHASMAFKAN-NEZAM MH, 2025, VINE J INF KNOWL MAN",2025,1,2.0,1.0,0.8571428571428572,DOES ETHICAL CLIMATE OF THE ORGANIZATION FOSTER ENTREPRENEURIAL MARKETING? THE ROLE OF WORK ENGAGEMENT AND EFFECTIVE KNOWLEDGE TRANSFER,VINE JOURNAL OF INFORMATION AND KNOWLEDGE MANAGEMENT SYSTEMS,VINE J INF KNOWL MAN,True,0.6931471805599453,0.43067655807339306
branch_2_02,branch_2,2,"KHASMAFKAN-NEZAM MH, 2025, SOC RESPONSIB J",2025,1,0.0,0.0,0.8571428571428572,"THE INTERSECTION OF RESPONSIBLE LEADERSHIP AND ENTREPRENEURIAL MARKETING: THE ROLES OF ETHICAL CLIMATE, EFFECTIVE KNOWLEDGE TRANSFER AND PERSON-ORGANIZATION FIT",SOCIAL RESPONSIBILITY JOURNAL,SOC RESPONSIB J,True,0.0,0.0
branch_2_03,branch_2,3,"RIGGS R, 2024, J BUS RES",2024,2,2.0,0.6666666666666666,0.7142857142857143,INFORMATION SYSTEMS CAPABILITIES VALUE CREATION THROUGH CIRCULAR ECONOMY PRACTICES IN UNCERTAIN ENVIRONMENTS: A CONDITIONAL MEDIATION MODEL,JOURNAL OF BUSINESS RESEARCH,J BUS RES,True,0.5108256237659907,0.31739380551401475
branch_2_04,branch_2,4,"MAKHLOUFI L, 2024, J RES MARK ENTREP",2024,2,3.0,1.0,0.7142857142857143,MEDIATING EFFECT OF ABSORPTIVE CAPACITY ON THE RELATIONSHIP BETWEEN KNOWLEDGE SHARING AND ENTREPRENEURIAL ORIENTATION AND THE MODERATING ROLE OF OPPORTUNITY RECOGNITION,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,True,0.6931471805599453,0.43067655807339306
branch_2_05,branch_2,5,"MARQUES T, 2023, LEADERSH HEALTH SERV",2023,3,2.0,0.5,0.5714285714285714,RESPONSIBLE LEADERSHIP AND TURNOVER INTENTIONS IN HEALTH-CARE PROFESSIONALS: THE MEDIATING ROLE OF BURNOUT,LEADERSHIP IN HEALTH SERVICES,LEADERSH HEALTH SERV,True,0.4054651081081644,0.25192963641259225
branch_2_06,branch_2,6,"PETRYLAITE E, 2021, J RES MARK ENTREP",2021,5,1.0,0.16666666666666666,0.2857142857142857,ENTREPRENEURIAL MARKETING LEARNING STYLES USED BY ENTREPRENEURIAL TEAMS,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,True,0.15415067982725827,0.0957792025627892
branch_2_07,branch_2,7,"YASIN R, 2021, J KNOWL MANAG",2021,5,2.0,0.3333333333333333,0.2857142857142857,RESPONSIBLE LEADERSHIP AND EMPLOYEES’ TURNOVER INTENTION. EXPLORE THE MEDIATING ROLES OF ETHICAL CLIMATE AND CORPORATE IMAGE,JOURNAL OF KNOWLEDGE MANAGEMENT,J KNOWL MANAG,True,0.2876820724517809,0.1787469216608008
branch_2_08,branch_2,8,"KANG H, 2021, ASIAN NURS RES",2021,5,2.0,0.3333333333333333,0.2857142857142857,MODEL SETTING AND INTERPRETATION OF RESULTS IN RESEARCH USING STRUCTURAL EQUATION MODELING: A CHECKLIST WITH GUIDING QUESTIONS FOR REPORTING,ASIAN NURSING RESEARCH,ASIAN NURS RES,True,0.2876820724517809,0.1787469216608008
branch_2_09,branch_2,9,"HALISAH A, 2021, J KNOWL MANAG",2021,5,2.0,0.3333333333333333,0.2857142857142857,SOCIAL DILEMMAS IN KNOWLEDGE SHARING: AN EXAMINATION OF THE INTERPLAY BETWEEN KNOWLEDGE SHARING CULTURE AND PERFORMANCE CLIMATE,JOURNAL OF KNOWLEDGE MANAGEMENT,J KNOWL MANAG,True,0.2876820724517809,0.1787469216608008
branch_2_10,branch_2,10,"TEO STT, 2020, INT J HOSP MANAG",2020,6,2.0,0.2857142857142857,0.1428571428571429,"PSYCHOSOCIAL WORK ENVIRONMENT, WORK ENGAGEMENT, AND EMPLOYEE COMMITMENT: A MODERATED, MEDIATION MODEL",INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,INT J HOSP MANAG,True,0.2513144282809061,0.15615043384980307
branch_2_11,branch_2,11,"MUHAMMED S, 2020, J KNOWL MANAG",2020,6,2.0,0.2857142857142857,0.1428571428571429,PEER KNOWLEDGE SHARING AND ORGANIZATIONAL PERFORMANCE: THE ROLE OF LEADERSHIP SUPPORT AND KNOWLEDGE MANAGEMENT SUCCESS,JOURNAL OF KNOWLEDGE MANAGEMENT,J KNOWL MANAG,True,0.2513144282809061,0.15615043384980307
branch_2_12,branch_2,12,"KIM W, 2020, APPL ERGON",2020,6,4.0,0.5714285714285714,0.1428571428571429,FACTORS AFFECTING TRUST IN HIGH-VULNERABILITY HUMAN-ROBOT INTERACTION CONTEXTS: A STRUCTURAL EQUATION MODELLING APPROACH,APPLIED ERGONOMICS,APPL ERGON,True,0.4519851237430572,0.28083414728281053
branch_2_13,branch_2,13,"BJORVATN T, 2020, J KNOWL MANAG",2020,6,2.0,0.2857142857142857,0.1428571428571429,THE IMPACT OF TIME PRESSURE ON KNOWLEDGE TRANSFER EFFECTIVENESS IN TEAMS: TRUST AS A CRITICAL BUT FRAGILE MEDIATOR,JOURNAL OF KNOWLEDGE MANAGEMENT,J KNOWL MANAG,True,0.2513144282809061,0.15615043384980307
branch_2_14,branch_2,14,"PASCHEN J, 2019, J BUS IND MARK",2019,7,3.0,0.375,0.0,ARTIFICIAL INTELLIGENCE (AI) AND ITS IMPLICATIONS FOR MARKET KNOWLEDGE IN B2B MARKETING,JOURNAL OF BUSINESS AND INDUSTRIAL MARKETING,J BUS IND MARK,True,0.3184537311185346,0.1978664281847989
branch_2_15,branch_2,15,"MULKI J, 2019, J BUS RES",2019,7,2.0,0.25,0.0,JOINT IMPACT OF ETHICAL CLIMATE AND EXTERNAL WORK LOCUS OF CONTROL ON JOB MEANINGFULNESS,JOURNAL OF BUSINESS RESEARCH,J BUS RES,True,0.22314355131420976,0.13864688385321391
branch_3_01,branch_3,1,"FILLIS I, 2023, J RES MARK ENTREP",2023,3,4.0,1.0,0.5714285714285714,ASSESSING THE NOTION OF ART AS A PRODUCT: ENTREPRENEURIAL MARKETING INSIGHTS FROM THE VISUAL ARTS,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,True,0.6931471805599453,0.43067655807339306
branch_3_02,branch_3,2,"FILLIS I, 2021, ARTS MARK",2021,5,1.0,0.16666666666666666,0.2857142857142857,ART COLLECTING AS CONSUMPTION AND ENTREPRENEURIAL MARKETING AS STRATEGY,ARTS AND THE MARKET,ARTS MARK,True,0.15415067982725827,0.0957792025627892
branch_3_03,branch_3,3,"LEHMAN K, 2020, HDB ENTREPRENEURSHIP",2020,6,2.0,0.2857142857142857,0.1428571428571429,,,HDB ENTREPRENEURSHIP,True,0.2513144282809061,0.15615043384980307
branch_3_04,branch_3,4,"ALEXIOU K, 2020, NONPROF VOLUNT SEC Q",2020,6,2.0,0.2857142857142857,0.1428571428571429,CROWDFUNDING ACTS AS A FUNDING SUBSTITUTE AND A LEGITIMATING SIGNAL FOR NONPROFIT PERFORMING ARTS ORGANIZATIONS,NONPROFIT AND VOLUNTARY SECTOR QUARTERLY,NONPROF VOLUNT SEC Q,True,0.2513144282809061,0.15615043384980307
branch_3_05,branch_3,5,"FILLIS I, 2017, J VACAT MARK",2017,9,2.0,0.2,0.0,THE MUSEUM OF OLD AND NEW ART: LEVERAGING ENTREPRENEURIAL MARKETING TO CREATE A UNIQUE ARTS AND VACATION VENTURE,JOURNAL OF VACATION MARKETING,J VACAT MARK,True,0.18232155679395465,0.11328275255937836
branch_3_06,branch_3,6,"BOOTH K, 2017, VISIT STUD",2017,9,2.0,0.2,0.0,"IT'S A MUSEUM, BUT NOT AS WE KNOW IT: ISSUES FOR LOCAL RESIDENTS ACCESSING THE MUSEUM OF OLD AND NEW ART",VISITOR STUDIES,VISIT STUD,True,0.18232155679395465,0.11328275255937836
branch_3_07,branch_3,7,"FIGUEIREDO B, 2016, J CONSUM RES",2016,10,2.0,0.18181818181818182,0.0,THE SYSTEMIC CREATION OF VALUE THROUGH CIRCULATION IN COLLABORATIVE CONSUMER NETWORKS,JOURNAL OF CONSUMER RESEARCH,J CONSUM RES,True,0.16705408466316618,0.10379653876210422
branch_3_08,branch_3,8,"FILLIS I, 2015",2015,11,2.0,0.16666666666666666,0.0,THE ARTIST AS MARKETER AND ENTREPRENEUR,,,True,0.15415067982725827,0.0957792025627892
branch_3_09,branch_3,9,"LEHMAN K, 2014, J RES MARK ENTREP",2014,12,8.0,0.6153846153846154,0.0,THE ART OF ENTREPRENEURIAL MARKET CREATION,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,True,0.4795730802618863,0.29797550844107057
branch_3_10,branch_3,10,"FROST V, 2014, THEGUARDIAN",2014,12,2.0,0.15384615384615385,0.0,,,THEGUARDIAN,True,0.14310084364067333,0.08891355331890301
branch_3_11,branch_3,11,"CROSSICK G, 2014, CULT TRENDS",2014,12,2.0,0.15384615384615385,0.0,UNDER CONSTRUCTION: TOWARDS A FRAMEWORK FOR CULTURAL VALUE,CULTURAL TRENDS,CULT TRENDS,True,0.14310084364067333,0.08891355331890301
branch_3_12,branch_3,12,"ROXAS B, 2013, TOURISM MANAGE",2013,13,2.0,0.14285714285714285,0.0,EFFECTS OF FORMAL INSTITUTIONS ON THE PERFORMANCE OF THE TOURISM SECTOR IN THE PHILIPPINES: THE MEDIATING ROLE OF ENTREPRENEURIAL ORIENTATION,TOURISM MANAGEMENT,TOURISM MANAGE,True,0.13353139262452263,0.08296771909801161
branch_3_13,branch_3,13,"KIRCHNER TA, 2013, SOCIAL BUSINESS",2013,13,3.0,0.21428571428571427,0.0,,,SOCIAL BUSINESS,True,0.19415601444095745,0.12063591452702735
branch_3_14,branch_3,14,"KIRCHNER T, 2013",2013,13,3.0,0.21428571428571427,0.0,ENTREPRENEURIAL MARKETING OF NONPROFIT ARTS ORGANISATIONS,SOCIAL BUSINESS,,True,0.19415601444095745,0.12063591452702735
branch_3_15,branch_3,15,"HALLAK R, 2012, TOURISM MANAGE",2012,14,2.0,0.13333333333333333,0.0,THE PLACE IDENTITY – PERFORMANCE RELATIONSHIP AMONG TOURISM ENTREPRENEURS: A STRUCTURAL EQUATION MODELLING ANALYSIS,TOURISM MANAGEMENT,TOURISM MANAGE,True,0.12516314295400602,0.07776823323660267
