branch_id,node_id,ToS,sap_rank,title,year,journal,source_title,has_article_metadata,token_count,parent_trunk_subtopic_id,parent_trunk_subtopic_label,parent_member_count,branch_to_trunk_score,citation_path_proximity,citation_path_distance,closest_trunk_node,text_similarity_to_trunk,shared_reference_similarity,branch_reference_count,trunk_reference_count
branch_1_01,"CRICK JM, 2025, INT J ENTREP BEHAV R",branch_1,0,COOPETITION AND THE MARKETING/ENTREPRENEURSHIP INTERFACE IN AN INTERNATIONAL ARENA,2025.0,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOUR & RESEARCH,INT J ENTREP BEHAV R,True,6,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.051469,0.0,,,0.147053,0.0,0,268
branch_1_01,"CRICK JM, 2025, INT J ENTREP BEHAV R",branch_1,0,COOPETITION AND THE MARKETING/ENTREPRENEURSHIP INTERFACE IN AN INTERNATIONAL ARENA,2025.0,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOUR & RESEARCH,INT J ENTREP BEHAV R,True,6,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.033509,0.0,,,0.095739,0.0,0,511
branch_1_01,"CRICK JM, 2025, INT J ENTREP BEHAV R",branch_1,0,COOPETITION AND THE MARKETING/ENTREPRENEURSHIP INTERFACE IN AN INTERNATIONAL ARENA,2025.0,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOUR & RESEARCH,INT J ENTREP BEHAV R,True,6,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.033385,0.0,,,0.095385,0.0,0,275
branch_1_02,"CHEN YH, 2024, SUSTAINABILITY-BASEL",branch_1,180151157,THE INNOVATIVE ENTREPRENEURIAL MARKETING JOURNEY AND SUSTAINABLE DEVELOPMENT OF SOUTHEAST ASIAN IMMIGRANTS,2024.0,SUSTAINABILITY,SUSTAINABILITY-BASEL,True,119,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.46838,1.0,1,"HILLS GE, 2008, J SMALL BUS MANAGE",0.181906,0.018851,42,268
branch_1_02,"CHEN YH, 2024, SUSTAINABILITY-BASEL",branch_1,180151157,THE INNOVATIVE ENTREPRENEURIAL MARKETING JOURNEY AND SUSTAINABLE DEVELOPMENT OF SOUTHEAST ASIAN IMMIGRANTS,2024.0,SUSTAINABILITY,SUSTAINABILITY-BASEL,True,119,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.096844,0.0,,,0.218188,0.081912,42,511
branch_1_02,"CHEN YH, 2024, SUSTAINABILITY-BASEL",branch_1,180151157,THE INNOVATIVE ENTREPRENEURIAL MARKETING JOURNEY AND SUSTAINABLE DEVELOPMENT OF SOUTHEAST ASIAN IMMIGRANTS,2024.0,SUSTAINABILITY,SUSTAINABILITY-BASEL,True,119,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.469961,1.0,1,"ALQAHTANI N, 2020, J BUS RES",0.146718,0.074439,42,275
branch_1_03,"ALAREENI B, 2025, J STRATEG MARK",branch_1,0,MARKETING AND ENTREPRENEURSHIP: CHALLENGES AND OPPORTUNITIES,2025.0,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,True,4,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.07898,0.0,,,0.225657,0.0,0,268
branch_1_03,"ALAREENI B, 2025, J STRATEG MARK",branch_1,0,MARKETING AND ENTREPRENEURSHIP: CHALLENGES AND OPPORTUNITIES,2025.0,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,True,4,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.050343,0.0,,,0.143837,0.0,0,511
branch_1_03,"ALAREENI B, 2025, J STRATEG MARK",branch_1,0,MARKETING AND ENTREPRENEURSHIP: CHALLENGES AND OPPORTUNITIES,2025.0,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,True,4,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.037102,0.0,,,0.106006,0.0,0,275
branch_1_04,"CHOU WC, 2023, NTU MANAG REV",branch_1,760388225,HOW ENTREPRENEURIAL MARKETING FACILITATES DIRECT SELLERS' ENTREPRENEURIAL PROCESS: A DYNAMIC ADJUSTMENT PERSPECTIVE,2023.0,NTU MANAGEMENT REVIEW,NTU MANAG REV,True,130,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.46607,1.0,1,"MILES MP, 2006, EUR J MARKETING",0.158224,0.042768,51,268
branch_1_04,"CHOU WC, 2023, NTU MANAG REV",branch_1,760388225,HOW ENTREPRENEURIAL MARKETING FACILITATES DIRECT SELLERS' ENTREPRENEURIAL PROCESS: A DYNAMIC ADJUSTMENT PERSPECTIVE,2023.0,NTU MANAGEMENT REVIEW,NTU MANAG REV,True,130,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.074109,0.0,,,0.136522,0.105306,51,511
branch_1_04,"CHOU WC, 2023, NTU MANAG REV",branch_1,760388225,HOW ENTREPRENEURIAL MARKETING FACILITATES DIRECT SELLERS' ENTREPRENEURIAL PROCESS: A DYNAMIC ADJUSTMENT PERSPECTIVE,2023.0,NTU MANAGEMENT REVIEW,NTU MANAG REV,True,130,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.466481,1.0,1,"ALQAHTANI N, 2020, J BUS RES",0.129631,0.08444,51,275
branch_1_05,"MAYUTO R, 2023, FRONT PSYCHOL",branch_1,0,ANTECEDENTS OF IMMIGRANTS’ ENTREPRENEURIAL INTENTION FORMATION PROCESS: AN EMPIRICAL STUDY OF IMMIGRANT ENTREPRENEURS IN CANADA,2023.0,FRONTIERS IN PSYCHOLOGY,FRONT PSYCHOL,True,10,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.023033,0.0,,,0.065808,0.0,0,268
branch_1_05,"MAYUTO R, 2023, FRONT PSYCHOL",branch_1,0,ANTECEDENTS OF IMMIGRANTS’ ENTREPRENEURIAL INTENTION FORMATION PROCESS: AN EMPIRICAL STUDY OF IMMIGRANT ENTREPRENEURS IN CANADA,2023.0,FRONTIERS IN PSYCHOLOGY,FRONT PSYCHOL,True,10,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.015757,0.0,,,0.045021,0.0,0,511
branch_1_05,"MAYUTO R, 2023, FRONT PSYCHOL",branch_1,0,ANTECEDENTS OF IMMIGRANTS’ ENTREPRENEURIAL INTENTION FORMATION PROCESS: AN EMPIRICAL STUDY OF IMMIGRANT ENTREPRENEURS IN CANADA,2023.0,FRONTIERS IN PSYCHOLOGY,FRONT PSYCHOL,True,10,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.020728,0.0,,,0.059222,0.0,0,275
branch_1_06,"AL-SHAIKH ME, 2023, WORLD DEVELOPMENT SUSTAINABILITY",branch_1,0,A CONCEPTUAL REVIEW ON ENTREPRENEURIAL MARKETING AND BUSINESS SUSTAINABILITY IN SMALL AND MEDIUM ENTERPRISES,2023.0,WORLD DEVELOPMENT SUSTAINABILITY,WORLD DEVELOPMENT SUSTAINABILITY,True,9,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.075016,0.0,,,0.214333,0.0,0,268
branch_1_06,"AL-SHAIKH ME, 2023, WORLD DEVELOPMENT SUSTAINABILITY",branch_1,0,A CONCEPTUAL REVIEW ON ENTREPRENEURIAL MARKETING AND BUSINESS SUSTAINABILITY IN SMALL AND MEDIUM ENTERPRISES,2023.0,WORLD DEVELOPMENT SUSTAINABILITY,WORLD DEVELOPMENT SUSTAINABILITY,True,9,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.077,0.0,,,0.220001,0.0,0,511
branch_1_06,"AL-SHAIKH ME, 2023, WORLD DEVELOPMENT SUSTAINABILITY",branch_1,0,A CONCEPTUAL REVIEW ON ENTREPRENEURIAL MARKETING AND BUSINESS SUSTAINABILITY IN SMALL AND MEDIUM ENTERPRISES,2023.0,WORLD DEVELOPMENT SUSTAINABILITY,WORLD DEVELOPMENT SUSTAINABILITY,True,9,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.087206,0.0,,,0.24916,0.0,0,275
branch_1_07,"SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH",branch_1,0,ENTREPRENEURIAL MARKETING AND ORGANIZATIONAL ENTREPRENEURSHIP PERFORMANCE OF SMALL AND MEDIUM ENTERPRISES: A SYSTEMATIC REVIEW,2022.0,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,True,10,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.083375,0.0,,,0.238213,0.0,0,268
branch_1_07,"SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH",branch_1,0,ENTREPRENEURIAL MARKETING AND ORGANIZATIONAL ENTREPRENEURSHIP PERFORMANCE OF SMALL AND MEDIUM ENTERPRISES: A SYSTEMATIC REVIEW,2022.0,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,True,10,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.105644,0.0,,,0.301841,0.0,0,511
branch_1_07,"SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH",branch_1,0,ENTREPRENEURIAL MARKETING AND ORGANIZATIONAL ENTREPRENEURSHIP PERFORMANCE OF SMALL AND MEDIUM ENTERPRISES: A SYSTEMATIC REVIEW,2022.0,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,True,10,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.099705,0.0,,,0.284871,0.0,0,275
branch_1_08,"NWANKWO CA, 2022, ACADEMY OF STRATEGIC MANAGEMENT JOURNAL",branch_1,0,,2022.0,,ACADEMY OF STRATEGIC MANAGEMENT JOURNAL,True,0,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.0,0.0,,,0.0,0.0,0,268
branch_1_08,"NWANKWO CA, 2022, ACADEMY OF STRATEGIC MANAGEMENT JOURNAL",branch_1,0,,2022.0,,ACADEMY OF STRATEGIC MANAGEMENT JOURNAL,True,0,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.0,0.0,,,0.0,0.0,0,511
branch_1_08,"NWANKWO CA, 2022, ACADEMY OF STRATEGIC MANAGEMENT JOURNAL",branch_1,0,,2022.0,,ACADEMY OF STRATEGIC MANAGEMENT JOURNAL,True,0,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.0,0.0,,,0.0,0.0,0,275
branch_1_09,"BUCCIERI D, 2022, IND MARKET MANAG",branch_1,0,EXAMINING THE FORMATION OF ENTREPRENEURIAL RESOURCES IN EMERGING MARKET INTERNATIONAL NEW VENTURES,2022.0,INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,True,9,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.024489,0.0,,,0.069968,0.0,0,268
branch_1_09,"BUCCIERI D, 2022, IND MARKET MANAG",branch_1,0,EXAMINING THE FORMATION OF ENTREPRENEURIAL RESOURCES IN EMERGING MARKET INTERNATIONAL NEW VENTURES,2022.0,INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,True,9,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.023221,0.0,,,0.066346,0.0,0,511
branch_1_09,"BUCCIERI D, 2022, IND MARKET MANAG",branch_1,0,EXAMINING THE FORMATION OF ENTREPRENEURIAL RESOURCES IN EMERGING MARKET INTERNATIONAL NEW VENTURES,2022.0,INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,True,9,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.046959,0.0,,,0.134167,0.0,0,275
branch_1_10,"LI E, 2021, SUSTAINABILITY-BASEL",branch_1,0,,2021.0,,SUSTAINABILITY-BASEL,True,0,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.0,0.0,,,0.0,0.0,0,268
branch_1_10,"LI E, 2021, SUSTAINABILITY-BASEL",branch_1,0,,2021.0,,SUSTAINABILITY-BASEL,True,0,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.0,0.0,,,0.0,0.0,0,511
branch_1_10,"LI E, 2021, SUSTAINABILITY-BASEL",branch_1,0,,2021.0,,SUSTAINABILITY-BASEL,True,0,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.0,0.0,,,0.0,0.0,0,275
branch_1_11,"CRICK JM, 2021, J STRATEG MARK",branch_1,0,QUALITATIVE RESEARCH IN MARKETING: WHAT CAN ACADEMICS DO BETTER?,2021.0,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,True,5,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.048472,0.0,,,0.138491,0.0,0,268
branch_1_11,"CRICK JM, 2021, J STRATEG MARK",branch_1,0,QUALITATIVE RESEARCH IN MARKETING: WHAT CAN ACADEMICS DO BETTER?,2021.0,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,True,5,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.036004,0.0,,,0.102868,0.0,0,511
branch_1_11,"CRICK JM, 2021, J STRATEG MARK",branch_1,0,QUALITATIVE RESEARCH IN MARKETING: WHAT CAN ACADEMICS DO BETTER?,2021.0,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,True,5,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.032554,0.0,,,0.093012,0.0,0,275
branch_1_12,"SCHWEIGER SA, 2019, STRATEGIC MANAGE J",branch_1,0,THE COMPLEMENTARITY OF STRATEGIC ORIENTATIONS: A META‐ANALYTIC SYNTHESIS AND THEORY EXTENSION,2019.0,STRATEGIC MANAGEMENT JOURNAL,STRATEGIC MANAGE J,True,8,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.005437,0.0,,,0.015534,0.0,0,268
branch_1_12,"SCHWEIGER SA, 2019, STRATEGIC MANAGE J",branch_1,0,THE COMPLEMENTARITY OF STRATEGIC ORIENTATIONS: A META‐ANALYTIC SYNTHESIS AND THEORY EXTENSION,2019.0,STRATEGIC MANAGEMENT JOURNAL,STRATEGIC MANAGE J,True,8,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.007988,0.0,,,0.022824,0.0,0,511
branch_1_12,"SCHWEIGER SA, 2019, STRATEGIC MANAGE J",branch_1,0,THE COMPLEMENTARITY OF STRATEGIC ORIENTATIONS: A META‐ANALYTIC SYNTHESIS AND THEORY EXTENSION,2019.0,STRATEGIC MANAGEMENT JOURNAL,STRATEGIC MANAGE J,True,8,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.01395,0.0,,,0.039856,0.0,0,275
branch_1_13,"CRESWELL JOHNW, 2018, JOURNAL OF INVESTIGATIVE SURGERY : THE OFFICIAL JOURNAL OF THE ACADEMY OF SURGICAL RESEARCH",branch_1,0,,2018.0,,JOURNAL OF INVESTIGATIVE SURGERY : THE OFFICIAL JOURNAL OF THE ACADEMY OF SURGICAL RESEARCH,True,0,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.0,0.0,,,0.0,0.0,0,268
branch_1_13,"CRESWELL JOHNW, 2018, JOURNAL OF INVESTIGATIVE SURGERY : THE OFFICIAL JOURNAL OF THE ACADEMY OF SURGICAL RESEARCH",branch_1,0,,2018.0,,JOURNAL OF INVESTIGATIVE SURGERY : THE OFFICIAL JOURNAL OF THE ACADEMY OF SURGICAL RESEARCH,True,0,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.0,0.0,,,0.0,0.0,0,511
branch_1_13,"CRESWELL JOHNW, 2018, JOURNAL OF INVESTIGATIVE SURGERY : THE OFFICIAL JOURNAL OF THE ACADEMY OF SURGICAL RESEARCH",branch_1,0,,2018.0,,JOURNAL OF INVESTIGATIVE SURGERY : THE OFFICIAL JOURNAL OF THE ACADEMY OF SURGICAL RESEARCH,True,0,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.0,0.0,,,0.0,0.0,0,275
branch_1_14,"ARLI D, 2018, IND MARKET MANAG",branch_1,0,"RELATIONAL SELLING: PAST, PRESENT AND FUTURE",2018.0,INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,True,5,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.018152,0.0,,,0.051864,0.0,0,268
branch_1_14,"ARLI D, 2018, IND MARKET MANAG",branch_1,0,"RELATIONAL SELLING: PAST, PRESENT AND FUTURE",2018.0,INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,True,5,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.00425,0.0,,,0.012144,0.0,0,511
branch_1_14,"ARLI D, 2018, IND MARKET MANAG",branch_1,0,"RELATIONAL SELLING: PAST, PRESENT AND FUTURE",2018.0,INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,True,5,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.011274,0.0,,,0.032212,0.0,0,275
branch_1_15,"REZAEI R, 2017, J AGR SCI TECH-IRAN",branch_1,0,,2017.0,,J AGR SCI TECH-IRAN,True,0,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.0,0.0,,,0.0,0.0,0,268
branch_1_15,"REZAEI R, 2017, J AGR SCI TECH-IRAN",branch_1,0,,2017.0,,J AGR SCI TECH-IRAN,True,0,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.0,0.0,,,0.0,0.0,0,511
