source_root_id,target_root_id,source_node_id,target_node_id,source_title,target_title,source_influence_count,target_influence_count,shared_influence_count,structural_cosine,structural_jaccard
root_05,root_06,"MILLER D, 1983, MANAGE SCI","MATSUNO K, 2002, J MARKETING",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,260,261,260,0.998082,0.996169
root_04,root_05,"SHANE S, 2000, ACAD MANAGE REV","MILLER D, 1983, MANAGE SCI",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,260,260,259,0.996154,0.992337
root_05,root_07,"MILLER D, 1983, MANAGE SCI","LUMPKIN GT, 1996, ACAD MANAGE REV",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,260,263,260,0.99428,0.988593
root_04,root_06,"SHANE S, 2000, ACAD MANAGE REV","MATSUNO K, 2002, J MARKETING",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,260,261,259,0.994244,0.98855
root_06,root_07,"MATSUNO K, 2002, J MARKETING","LUMPKIN GT, 1996, ACAD MANAGE REV",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,261,263,260,0.992374,0.984848
root_04,root_08,"SHANE S, 2000, ACAD MANAGE REV","BARNEY J, 1991, J MANAGE",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,260,262,259,0.992344,0.984791
root_05,root_08,"MILLER D, 1983, MANAGE SCI","BARNEY J, 1991, J MANAGE",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,260,262,259,0.992344,0.984791
root_07,root_08,"LUMPKIN GT, 1996, ACAD MANAGE REV","BARNEY J, 1991, J MANAGE",CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,263,262,260,0.990478,0.981132
root_04,root_07,"SHANE S, 2000, ACAD MANAGE REV","LUMPKIN GT, 1996, ACAD MANAGE REV",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,260,263,259,0.990456,0.981061
root_06,root_08,"MATSUNO K, 2002, J MARKETING","BARNEY J, 1991, J MANAGE",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,261,262,259,0.990442,0.981061
root_03,root_06,"STOKES D, 2000, J RES MARKETING ENTR","MATSUNO K, 2002, J MARKETING",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,266,261,260,0.986762,0.973783
root_02,root_03,"COLLINSON E, 2001, MANAGEMENT DECISION","STOKES D, 2000, J RES MARKETING ENTR",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,274,266,266,0.985293,0.970803
root_03,root_04,"STOKES D, 2000, J RES MARKETING ENTR","SHANE S, 2000, ACAD MANAGE REV",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,266,260,259,0.984855,0.970037
root_03,root_05,"STOKES D, 2000, J RES MARKETING ENTR","MILLER D, 1983, MANAGE SCI",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,266,260,259,0.984855,0.970037
root_01,root_02,"MORRIS MH, 2002, J MARKET THEORY PRAC","COLLINSON E, 2001, MANAGEMENT DECISION",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,271,274,268,0.983501,0.967509
root_01,root_06,"MORRIS MH, 2002, J MARKET THEORY PRAC","MATSUNO K, 2002, J MARKETING",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,271,261,261,0.981376,0.9631
root_03,root_08,"STOKES D, 2000, J RES MARKETING ENTR","BARNEY J, 1991, J MANAGE",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,266,262,259,0.981089,0.962825
root_01,root_08,"MORRIS MH, 2002, J MARKET THEORY PRAC","BARNEY J, 1991, J MANAGE",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,271,262,261,0.979502,0.959559
root_01,root_04,"MORRIS MH, 2002, J MARKET THEORY PRAC","SHANE S, 2000, ACAD MANAGE REV",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,271,260,260,0.979495,0.95941
root_01,root_05,"MORRIS MH, 2002, J MARKET THEORY PRAC","MILLER D, 1983, MANAGE SCI",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,271,260,260,0.979495,0.95941
root_03,root_07,"STOKES D, 2000, J RES MARKETING ENTR","LUMPKIN GT, 1996, ACAD MANAGE REV",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,266,263,259,0.979222,0.959259
root_01,root_07,"MORRIS MH, 2002, J MARKET THEORY PRAC","LUMPKIN GT, 1996, ACAD MANAGE REV",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,271,263,261,0.977638,0.956044
root_01,root_03,"MORRIS MH, 2002, J MARKET THEORY PRAC","STOKES D, 2000, J RES MARKETING ENTR",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,271,266,262,0.975834,0.952727
root_02,root_04,"COLLINSON E, 2001, MANAGEMENT DECISION","SHANE S, 2000, ACAD MANAGE REV",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,274,260,260,0.974118,0.948905
root_02,root_06,"COLLINSON E, 2001, MANAGEMENT DECISION","MATSUNO K, 2002, J MARKETING",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,274,261,260,0.97225,0.945455
root_02,root_08,"COLLINSON E, 2001, MANAGEMENT DECISION","BARNEY J, 1991, J MANAGE",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,274,262,260,0.970392,0.942029
root_02,root_05,"COLLINSON E, 2001, MANAGEMENT DECISION","MILLER D, 1983, MANAGE SCI",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,274,260,259,0.970371,0.941818
root_02,root_07,"COLLINSON E, 2001, MANAGEMENT DECISION","LUMPKIN GT, 1996, ACAD MANAGE REV",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,274,263,260,0.968546,0.938628
root_13,root_14,"NARVER JC, 1990, J MARKETING","KOHLI AK, 1990, J MARKETING",THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",234,217,217,0.96299,0.92735
root_03,root_10,"STOKES D, 2000, J RES MARKETING ENTR","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,Marketing and entrepreneurship in SMEs : an innovative approach,266,246,245,0.957762,0.917603
root_04,root_10,"SHANE S, 2000, ACAD MANAGE REV","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,Marketing and entrepreneurship in SMEs : an innovative approach,260,246,242,0.956888,0.916667
root_05,root_10,"MILLER D, 1983, MANAGE SCI","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,Marketing and entrepreneurship in SMEs : an innovative approach,260,246,242,0.956888,0.916667
root_06,root_10,"MATSUNO K, 2002, J MARKETING","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,Marketing and entrepreneurship in SMEs : an innovative approach,261,246,242,0.955053,0.913208
root_09,root_11,"SARASVATHY SD, 2001, ACAD MANAGE REV","READ S, 2009, J MARKETING",CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,226,206,206,0.954727,0.911504
root_08,root_10,"BARNEY J, 1991, J MANAGE","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,Marketing and entrepreneurship in SMEs : an innovative approach,262,246,242,0.953229,0.909774
root_10,root_12,"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","BJERKE B, 2002, ENTREPRENEURIAL MARK",Marketing and entrepreneurship in SMEs : an innovative approach,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,246,223,223,0.952105,0.906504
root_07,root_10,"LUMPKIN GT, 1996, ACAD MANAGE REV","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,Marketing and entrepreneurship in SMEs : an innovative approach,263,246,242,0.951415,0.906367
root_02,root_10,"COLLINSON E, 2001, MANAGEMENT DECISION","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,Marketing and entrepreneurship in SMEs : an innovative approach,274,246,245,0.943677,0.890909
root_10,root_13,"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","NARVER JC, 1990, J MARKETING",Marketing and entrepreneurship in SMEs : an innovative approach,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,246,234,225,0.937793,0.882353
root_01,root_10,"MORRIS MH, 2002, J MARKET THEORY PRAC","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,Marketing and entrepreneurship in SMEs : an innovative approach,271,246,242,0.937267,0.88
root_06,root_13,"MATSUNO K, 2002, J MARKETING","NARVER JC, 1990, J MARKETING",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,261,234,231,0.934725,0.875
root_04,root_13,"SHANE S, 2000, ACAD MANAGE REV","NARVER JC, 1990, J MARKETING",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,260,234,230,0.932466,0.871212
root_05,root_13,"MILLER D, 1983, MANAGE SCI","NARVER JC, 1990, J MARKETING",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,260,234,230,0.932466,0.871212
root_07,root_13,"LUMPKIN GT, 1996, ACAD MANAGE REV","NARVER JC, 1990, J MARKETING",CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,263,234,231,0.931164,0.868421
root_09,root_12,"SARASVATHY SD, 2001, ACAD MANAGE REV","BJERKE B, 2002, ENTREPRENEURIAL MARK",CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,226,223,209,0.930978,0.870833
root_10,root_14,"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","KOHLI AK, 1990, J MARKETING",Marketing and entrepreneurship in SMEs : an innovative approach,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",246,217,215,0.930553,0.866935
root_06,root_09,"MATSUNO K, 2002, J MARKETING","SARASVATHY SD, 2001, ACAD MANAGE REV",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,261,226,226,0.930538,0.8659
root_11,root_16,"READ S, 2009, J MARKETING","GILMORE A, 2011, J RES MARK ENTREP",MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,ENTREPRENEURIAL AND SME MARKETING,206,182,180,0.929615,0.865385
root_09,root_10,"SARASVATHY SD, 2001, ACAD MANAGE REV","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,Marketing and entrepreneurship in SMEs : an innovative approach,226,246,219,0.9288,0.865613
root_04,root_09,"SHANE S, 2000, ACAD MANAGE REV","SARASVATHY SD, 2001, ACAD MANAGE REV",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,260,226,225,0.9282,0.862069
root_05,root_09,"MILLER D, 1983, MANAGE SCI","SARASVATHY SD, 2001, ACAD MANAGE REV",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,260,226,225,0.9282,0.862069
root_01,root_13,"MORRIS MH, 2002, J MARKET THEORY PRAC","NARVER JC, 1990, J MARKETING",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,271,234,233,0.925259,0.856618
root_08,root_13,"BARNEY J, 1991, J MANAGE","NARVER JC, 1990, J MARKETING",FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,262,234,229,0.924862,0.857678
root_08,root_09,"BARNEY J, 1991, J MANAGE","SARASVATHY SD, 2001, ACAD MANAGE REV",FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,262,226,225,0.924651,0.855513
root_07,root_09,"LUMPKIN GT, 1996, ACAD MANAGE REV","SARASVATHY SD, 2001, ACAD MANAGE REV",CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,263,226,225,0.922891,0.852273
root_03,root_13,"STOKES D, 2000, J RES MARKETING ENTR","NARVER JC, 1990, J MARKETING",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,266,234,230,0.92189,0.851852
