subtopic_id,subtopic_label,is_representative,root_id,node_id,sap_rank,title,year,journal,source_title,has_article_metadata,influence_count
subtopic_1,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV; ABBAS A, 2026, J SMALL BUS ENTREP; ADEL H, 2020, J ENTERPR EMERG ECON",True,root_01,"MORRIS MH, 2002, J MARKET THEORY PRAC",40268174438,ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,2002.0,THE JOURNAL OF MARKETING THEORY AND PRACTICE,J MARKET THEORY PRAC,True,271
subtopic_1,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV; ABBAS A, 2026, J SMALL BUS ENTREP; ADEL H, 2020, J ENTERPR EMERG ECON",False,root_02,"COLLINSON E, 2001, MANAGEMENT DECISION",38429612973,ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,2001.0,MANAGEMENT DECISION,MANAGEMENT DECISION,True,274
subtopic_1,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV; ABBAS A, 2026, J SMALL BUS ENTREP; ADEL H, 2020, J ENTERPR EMERG ECON",False,root_03,"STOKES D, 2000, J RES MARKETING ENTR",23496391859,PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,2000.0,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARKETING ENTR,True,266
subtopic_1,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV; ABBAS A, 2026, J SMALL BUS ENTREP; ADEL H, 2020, J ENTERPR EMERG ECON",False,root_04,"SHANE S, 2000, ACAD MANAGE REV",22758506587,THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,2000.0,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,True,260
subtopic_1,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV; ABBAS A, 2026, J SMALL BUS ENTREP; ADEL H, 2020, J ENTERPR EMERG ECON",False,root_05,"MILLER D, 1983, MANAGE SCI",21836642848,THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,1983.0,MANAGEMENT SCIENCE,MANAGE SCI,True,260
subtopic_1,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV; ABBAS A, 2026, J SMALL BUS ENTREP; ADEL H, 2020, J ENTERPR EMERG ECON",False,root_06,"MATSUNO K, 2002, J MARKETING",19307962597,THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,2002.0,JOURNAL OF MARKETING,J MARKETING,True,261
subtopic_1,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV; ABBAS A, 2026, J SMALL BUS ENTREP; ADEL H, 2020, J ENTERPR EMERG ECON",False,root_07,"LUMPKIN GT, 1996, ACAD MANAGE REV",18814634470,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,1996.0,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,True,263
subtopic_1,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV; ABBAS A, 2026, J SMALL BUS ENTREP; ADEL H, 2020, J ENTERPR EMERG ECON",False,root_08,"BARNEY J, 1991, J MANAGE",17479986438,FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,1991.0,JOURNAL OF MANAGEMENT,J MANAGE,True,262
subtopic_1,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV; ABBAS A, 2026, J SMALL BUS ENTREP; ADEL H, 2020, J ENTERPR EMERG ECON",False,root_09,"SARASVATHY SD, 2001, ACAD MANAGE REV",8160153812,CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,2001.0,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,True,226
subtopic_1,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV; ABBAS A, 2026, J SMALL BUS ENTREP; ADEL H, 2020, J ENTERPR EMERG ECON",False,root_10,"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",8091780732,Marketing and entrepreneurship in SMEs : an innovative approach,1995.0,,MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH,True,246
subtopic_1,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV; ABBAS A, 2026, J SMALL BUS ENTREP; ADEL H, 2020, J ENTERPR EMERG ECON",False,root_12,"BJERKE B, 2002, ENTREPRENEURIAL MARK",3634812307,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,2002.0,,ENTREPRENEURIAL MARK,True,223
subtopic_1,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV; ABBAS A, 2026, J SMALL BUS ENTREP; ADEL H, 2020, J ENTERPR EMERG ECON",False,root_13,"NARVER JC, 1990, J MARKETING",3173543676,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,1990.0,JOURNAL OF MARKETING,J MARKETING,True,234
subtopic_1,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV; ABBAS A, 2026, J SMALL BUS ENTREP; ADEL H, 2020, J ENTERPR EMERG ECON",False,root_14,"KOHLI AK, 1990, J MARKETING",2310578269,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",1990.0,JOURNAL OF MARKETING,J MARKETING,True,217
subtopic_2,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV; ABBAS A, 2026, J SMALL BUS ENTREP; ADEL H, 2020, J ENTERPR EMERG ECON",True,root_11,"READ S, 2009, J MARKETING",3912055722,MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,2009.0,JOURNAL OF MARKETING,J MARKETING,True,206
subtopic_2,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV; ABBAS A, 2026, J SMALL BUS ENTREP; ADEL H, 2020, J ENTERPR EMERG ECON",False,root_15,"HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",597888821,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,2011.0,JOURNAL OF SMALL BUSINESS & ENTREPRENEURSHIP,JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP,True,164
subtopic_2,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV; ABBAS A, 2026, J SMALL BUS ENTREP; ADEL H, 2020, J ENTERPR EMERG ECON",False,root_16,"GILMORE A, 2011, J RES MARK ENTREP",494678154,ENTREPRENEURIAL AND SME MARKETING,2011.0,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,True,182
subtopic_2,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV; ABBAS A, 2026, J SMALL BUS ENTREP; ADEL H, 2020, J ENTERPR EMERG ECON",False,root_17,"HANSEN DJ, 2010, J RES MARK ENTREP",467715403,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,2010.0,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,True,170
subtopic_2,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV; ABBAS A, 2026, J SMALL BUS ENTREP; ADEL H, 2020, J ENTERPR EMERG ECON",False,root_18,"BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",74001259,THE EFFECT OF ENTREPRENEURIAL MARKETING ON OUTCOME GOALS IN SMES,2012.0,NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP,NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP,True,118
subtopic_3,"ABBAS A, 2026, J SMALL BUS ENTREP; ALIAKBARI A, 2025, INT J ENTREP BEHAV R; ALIAKBARI A, 2025, INT J ENTREP BEHAV RES",True,root_19,"ALQAHTANI N, 2022, J STRATEG MARK",3783162,"ENTREPRENEURIAL MARKETING AND FIRM PERFORMANCE: SCALE DEVELOPMENT, VALIDATION, AND EMPIRICAL TEST",2022.0,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,True,36
