Id,Label,size,color,citations_received,log_citations_received,citation_velocity,log_citation_velocity,citation_velocity_score,global_size_score,local_size_score,final_root_size_score,compressed_root_size_score,visual_size_level,subtopic_id,subtopic_label,cluster_order,cluster_strength,cluster_cohesion,cluster_separation,cluster_support,is_representative,root_anchor_score,sap_rank,year,journal,source_title,has_article_metadata
"MILLER D, 1983, MANAGE SCI",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,15.0,#C4AE97,26.0,3.295837,0.590909,0.464306,0.0,0.034886,0.099935,0.080421,0.182003,1,subtopic_2,orientation; market; performance; construct; effects,1,0.65958,0.392505,0.73181,1.0,True,0.465968,21836642848,1983.0,MANAGEMENT SCIENCE,MANAGE SCI,True
"MATSUNO K, 2002, J MARKETING",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,15.0,#B69D86,24.0,3.218876,0.96,0.672944,0.113251,0.0,0.0,0.0,0.0,1,subtopic_2,orientation; market; performance; construct; effects,1,0.65958,0.392505,0.73181,1.0,False,0.456568,19307962597,2002.0,JOURNAL OF MARKETING,J MARKETING,True
"LUMPKIN GT, 1996, ACAD MANAGE REV",CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,19.5,#A48972,47.0,3.871201,1.516129,0.922722,0.248832,0.295695,0.847057,0.681648,0.753634,4,subtopic_2,orientation; market; performance; construct; effects,1,0.65958,0.392505,0.73181,1.0,False,0.43641,18814634470,1996.0,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,True
"NARVER JC, 1990, J MARKETING",THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,21.0,#A68C75,53.0,3.988984,1.432432,0.888892,0.230469,0.349085,1.0,0.804726,0.850895,5,subtopic_2,orientation; market; performance; construct; effects,1,0.65958,0.392505,0.73181,1.0,False,0.218826,3173543676,1990.0,JOURNAL OF MARKETING,J MARKETING,True
"KOHLI AK, 1990, J MARKETING","MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",16.5,#BEA790,27.0,3.332205,0.72973,0.547965,0.045411,0.051371,0.147159,0.118423,0.231275,2,subtopic_2,orientation; market; performance; construct; effects,1,0.65958,0.392505,0.73181,1.0,False,0.182162,2310578269,1990.0,JOURNAL OF MARKETING,J MARKETING,True
"MORRIS MH, 2002, J MARKET THEORY PRAC",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,21.0,#441A03,226.0,5.42495,9.04,2.306577,1.0,1.0,1.0,1.0,1.0,5,subtopic_1,marketing; historical; perspective; entrepreneurial; discusses,2,0.637169,0.349804,0.71903,1.0,True,0.766667,40268174438,2002.0,THE JOURNAL OF MARKETING THEORY AND PRACTICE,J MARKET THEORY PRAC,True
"COLLINSON E, 2001, MANAGEMENT DECISION",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,19.5,#805F48,84.0,4.442651,3.230769,1.442384,0.530909,0.55473,0.538635,0.543463,0.640331,4,subtopic_1,marketing; historical; perspective; entrepreneurial; discusses,2,0.637169,0.349804,0.71903,1.0,False,0.720364,38429612973,2001.0,MANAGEMENT DECISION,MANAGEMENT DECISION,True
"STOKES D, 2000, J RES MARKETING ENTR",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,19.5,#7F5E47,89.0,4.49981,3.296296,1.457753,0.539252,0.58064,0.565481,0.570028,0.662515,4,subtopic_1,marketing; historical; perspective; entrepreneurial; discusses,2,0.637169,0.349804,0.71903,1.0,False,0.4993,23496391859,2000.0,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARKETING ENTR,True
"BARNEY J, 1991, J MANAGE",FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,18.0,#A58B74,53.0,3.988984,1.472222,0.905117,0.239276,0.349085,0.325557,0.332615,0.454672,3,subtopic_1,marketing; historical; perspective; entrepreneurial; discusses,2,0.637169,0.349804,0.71903,1.0,False,0.373228,17479986438,1991.0,JOURNAL OF MANAGEMENT,J MANAGE,True
"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",Marketing and entrepreneurship in SMEs : an innovative approach,15.0,#BBA48D,26.0,3.295837,0.8125,0.594707,0.070783,0.034886,0.0,0.010466,0.056384,1,subtopic_1,marketing; historical; perspective; entrepreneurial; discusses,2,0.637169,0.349804,0.71903,1.0,False,0.248723,8091780732,1995.0,,MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH,True
"BJERKE B, 2002, ENTREPRENEURIAL MARK",Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,16.5,#9F836C,43.0,3.78419,1.72,1.000632,0.291122,0.256253,0.229369,0.237434,0.362353,2,subtopic_1,marketing; historical; perspective; entrepreneurial; discusses,2,0.637169,0.349804,0.71903,1.0,False,0.188979,3634812307,2002.0,,ENTREPRENEURIAL MARK,True
"SARASVATHY SD, 2001, ACAD MANAGE REV",CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,21.0,#9A7D66,50.0,3.931826,1.923077,1.072637,0.330207,0.323176,1.0,0.796953,0.844837,5,subtopic_3,marketing; entrepreneurial; causation; toward; shift,3,0.610399,0.310734,0.733703,0.957143,True,0.237716,8160153812,2001.0,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,True
"READ S, 2009, J MARKETING",MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,15.0,#A88D76,25.0,3.258097,1.388889,0.870828,0.220664,0.017779,0.055012,0.043842,0.126613,1,subtopic_3,marketing; entrepreneurial; causation; toward; shift,3,0.610399,0.310734,0.733703,0.957143,False,0.187713,3912055722,2009.0,JOURNAL OF MARKETING,J MARKETING,True
"GILMORE A, 2011, J RES MARK ENTREP",ENTREPRENEURIAL AND SME MARKETING,18.0,#987B64,32.0,3.496508,2.0,1.098612,0.344307,0.125849,0.389413,0.310344,0.433714,3,subtopic_3,marketing; entrepreneurial; causation; toward; shift,3,0.610399,0.310734,0.733703,0.957143,False,0.137593,494678154,2011.0,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,True
"HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,19.5,#8C6D56,41.0,3.73767,2.5625,1.270463,0.437589,0.235166,0.727672,0.57992,0.670723,4,subtopic_3,marketing; entrepreneurial; causation; toward; shift,3,0.610399,0.310734,0.733703,0.957143,False,0.130928,597888821,2011.0,JOURNAL OF SMALL BUSINESS & ENTREPRENEURSHIP,JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP,True
"HANSEN DJ, 2010, J RES MARK ENTREP",THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,15.0,#A78D76,24.0,3.218876,1.411765,0.880359,0.225837,0.0,0.0,0.0,0.0,1,subtopic_3,marketing; entrepreneurial; causation; toward; shift,3,0.610399,0.310734,0.733703,0.957143,False,0.130381,467715403,2010.0,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,True
