trunk_subtopic_id,trunk_subtopic_label,is_representative,trunk_id,node_id,sap_rank,title,year,journal,source_title,has_article_metadata,token_count
trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,True,trunk_07,"TORRES G, 2024, J RES MARK ENTREP",66951408422,BUILDING SALES THROUGH CONNECTIONS: HOW NETWORK CAPABILITIES AND TIE STRENGTH FOSTER ENTREPRENEURIAL MARKETING,2024.0,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,True,143
trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,False,trunk_09,"SAHU CK, 2024, J SMALL BUS ENTERP D",45597538149,ENTREPRENEURIAL MARKETING PRACTICES AND MANUFACTURING VENTURE PERFORMANCE DURING A PANDEMIC: THE MEDIATING ROLE OF INNOVATION,2024.0,JOURNAL OF SMALL BUSINESS AND ENTERPRISE DEVELOPMENT,J SMALL BUS ENTERP D,True,150
trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,False,trunk_11,"ZAHARA Z, 2023, COGENT BUS MANAG",37169118030,ENTREPRENEURIAL MARKETING AND MARKETING PERFORMANCE THROUGH DIGITAL MARKETING CAPABILITIES OF SMES IN POST-PANDEMIC RECOVERY,2023.0,COGENT BUSINESS & MANAGEMENT,COGENT BUS MANAG,True,130
trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,False,trunk_12,"ALSHAGAWI M, 2024, COGENT BUS MANAG",34759728532,"THE IMPACT OF STRATEGIC ENTREPRENEURSHIP AND ENTREPRENEURIAL MARKETING, ENTREPRENEURSHIP VALUES ON SMALL AND MEDIUM ENTERPRISES' PERFORMANCE: EVIDENCE FROM SAUDI ARABIA",2024.0,COGENT BUSINESS & MANAGEMENT,COGENT BUS MANAG,True,87
trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,False,trunk_14,"DEKU WA, 2023, J ISLAMIC MARK",25516156094,INNOVATIONS IN ENTREPRENEURIAL MARKETING DIMENSIONS: EVIDENCE OF HALAL FOOD SMES IN GHANA,2023.0,JOURNAL OF ISLAMIC MARKETING,J ISLAMIC MARK,True,213
trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,False,trunk_19,"GLIGA G, 2023, J BUS RES",21513571252,MARKETING CAPABILITY DEVELOPMENT THROUGH NETWORKING - AN ENTREPRENEURIAL MARKETING PERSPECTIVE,2023.0,JOURNAL OF BUSINESS RESEARCH,J BUS RES,True,113
trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,False,trunk_20,"ADEL HM, 2020, J ENTREP EMERG ECON",20279589447,"ENTREPRENEURIAL MARKETING STRATEGY, INSTITUTIONAL ENVIRONMENT, AND BUSINESS PERFORMANCE OF SMES IN EGYPT",2020.0,JOURNAL OF ENTREPRENEURSHIP IN EMERGING ECONOMIES,J ENTREP EMERG ECON,True,148
trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,True,trunk_01,"MILES MP, 2006, EUR J MARKETING",133068762243,"Large firms, entrepreneurial marketing processes, and the cycle of competitive advantage",2006.0,EUROPEAN JOURNAL OF MARKETING,EUR J MARKETING,True,95
trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,False,trunk_04,"MORRISH SC, 2010, J STRATEG MARK",78215619693,ENTREPRENEURIAL MARKETING: ACKNOWLEDGING THE ENTREPRENEUR AND CUSTOMER-CENTRIC INTERRELATIONSHIP,2010.0,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,True,55
trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,False,trunk_05,"MORRISH SC, 2011, J RES MARK ENTREP",73405142129,Entrepreneurial marketing: a strategy for the twenty-first century?,2011.0,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,True,75
trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,False,trunk_06,"HILLS GE, 2008, J SMALL BUS MANAGE",70086588638,THE EVOLUTION AND DEVELOPMENT OF ENTREPRENEURIAL MARKETING,2008.0,JOURNAL OF SMALL BUSINESS MANAGEMENT,J SMALL BUS MANAGE,True,51
trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,False,trunk_08,"MILES M, 2015, J STRATEG MARK",61695173685,EXPLORING ENTREPRENEURIAL MARKETING,2015.0,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,True,63
trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,False,trunk_16,"MORT GS, 2012, EUR J MARKETING",23703959170,ADVANCING ENTREPRENEURIAL MARKETING EVIDENCE FROM BORN GLOBAL FIRMS,2012.0,EUROPEAN JOURNAL OF MARKETING,EUR J MARKETING,True,152
trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,True,trunk_02,"ALQAHTANI N, 2020, J BUS RES",107215740249,ENTREPRENEURIAL MARKETING AND FIRM PERFORMANCE: SYNTHESIS AND CONCEPTUAL DEVELOPMENT,2020.0,JOURNAL OF BUSINESS RESEARCH,J BUS RES,True,66
trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,False,trunk_03,"WHALEN P, 2016, J STRATEG MARK",80989887376,ANATOMY OF COMPETITIVE ADVANTAGE: TOWARDS A CONTINGENCY THEORY OF ENTREPRENEURIAL MARKETING,2016.0,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,True,88
trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,False,trunk_10,"SADIKU-DUSHI N, 2019, J BUS RES",39387207530,ENTREPRENEURIAL MARKETING DIMENSIONS AND SMES PERFORMANCE,2019.0,JOURNAL OF BUSINESS RESEARCH,J BUS RES,True,70
trunk_subtopic_4,orientation; comparative; firms; growth; technology,True,trunk_13,"JONES R, 2013, SERV IND J",25635713579,ENTREPRENEURIAL MARKETING: A COMPARATIVE STUDY,2013.0,SERVICE INDUSTRIES JOURNAL,SERV IND J,True,94
trunk_subtopic_5,start; making; decision; ups; causal,True,trunk_15,"BREIT LA, 2025, J RES MARK ENTREP",24955582123,NAVIGATING START-UPS: A QUALITATIVE EXPLORATION OF CAUSAL AND EFFECTUAL DECISION-MAKING IN ENTREPRENEURIAL MARKETING,2025.0,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,True,156
trunk_subtopic_6,orientation; coopetition; owner; business; managers,True,trunk_17,"CRICK JM, 2021, INT J ENTREP BEHAV R",23447579745,THE IMPACT OF THE INTERACTION BETWEEN AN ENTREPRENEURIAL MARKETING ORIENTATION AND COOPETITION ON BUSINESS PERFORMANCE,2021.0,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,True,290
trunk_subtopic_7,practice; investigation; social; observations; common,True,trunk_18,"GROSS N, 2014, J RES MARK ENTREP",23349009060,BEYOND RHETORIC: RE-THINKING ENTREPRENEURIAL MARKETING FROM A PRACTICE PERSPECTIVE,2014.0,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,True,126
